Simply Easy Learning!Simply Easy Learning!Simply Easy Learning!Simply Easy Learning!Index,AnalogMoisture,DigitalMoisture,AvgAnalogMoisture,Celcius,Fahrenheit,IRLight,PhotoLight
"1","1004","1","1005.00","24","75.95","1015","33"
"2","1004","1","1005.00","29","75.95","1015","34"
"3","1005","1","1003.00","22","75.95","1015","34"
"4","1003","1","1005.00","19","75.95","1015","33"
"5","1006","1","1005.00","20","75.95","1015","33"
"6","1006","1","1004.00","26","75.07","1015","34"
"7","1003","1","1004.00","26","75.95","1015","34"
"8","1004","1","1005.00","29","75.07","1014","34"
"9","1005","1","1006.00","22","75.95","1015","34"
"10","1004","1","1004.00","27","75.95","1016","34"
"11","1004","1","1005.00","30","75.07","1015","33"
"12","1004","1","1004.00","25","75.95","1015","34"
"13","1003","1","1004.00","25","75.95","1016","33"
"14","1006","1","1005.00","19","75.07","1014","33"
"15","1005","1","1005.00","20","75.07","1015","34"
"16","1003","1","1005.00","30","75.95","1015","34"
"17","1006","1","1004.00","25","75.07","1015","34"
"18","1006","1","1004.00","26","75.07","1015","34"
"19","1003","1","1005.00","20","75.07","1015","33"
"20","1005","1","1005.00","20","75.07","1014","34"
"21","1005","1","1004.00","26","75.95","1015","34"
"22","1003","1","1006.00","33","75.07","1015","33"
"23","1006","1","1005.00","30","75.07","1014","34"
"24","1006","1","1004.00","18","75.07","1015","33"
"25","1005","1","1005.00","19","75.07","1015","34"
"26","1003","1","1004.00","25","75.07","1015","33"
"27","1004","1","1006.00","36","75.07","1015","34"
"28","1005","1","1003.00","22","75.07","1015","34"
"29","1004","1","1005.00","20","74.19","1015","34"
"30","1006","1","1005.00","20","74.19","1015","34"
"31","1006","1","1005.00","31","75.95","1013","34"
"32","1006","1","1005.00","30","75.07","1015","33"
"33","1004","1","1004.00","27","75.07","1015","33"
"34","1006","1","1004.00","25","75.07","1015","33"
"35","1003","1","1005.00","19","75.07","1015","34"
"36","1004","1","1005.00","19","73.31","1015","33"
"37","1004","1","1005.00","30","75.07","1015","33"
"38","1004","1","1004.00","25","75.07","1016","34"
"39","1005","1","1005.00","31","74.19","1014","34"
"40","1004","1","1005.00","20","75.07","1016","33"
"41","1004","1","1004.00","17","74.19","1015","34"
"42","1005","1","1006.00","34","74.19","1014","34"
"43","1006","1","1005.00","30","75.07","1015","34"
"44","1005","1","1003.00","22","75.07","1015","34"
"45","1003","1","1005.00","19","75.07","1015","34"
"46","1005","1","1006.00","23","73.31","1014","33"
"47","1004","1","1004.00","26","75.95","1015","34"
"48","1003","1","1004.00","25","75.07","1015","33"
"49","1005","1","1005.00","31","74.19","1014","34"
"50","1006","1","1004.00","18","74.19","1014","34"
"51","1005","1","1005.00","19","74.19","1015","34"
"52","1004","1","1005.00","30","75.07","1015","34"
"53","1006","1","1005.00","30","74.19","1015","34"
"54","1006","1","1004.00","25","75.95","1015","34"
"55","1003","1","1003.00","23","73.31","1015","34"
"56","1006","1","1005.00","20","74.19","1014","34"
"57","1006","1","1004.00","18","75.07","1015","34"
"58","1006","1","1005.00","31","75.07","1015","33"
"59","1005","1","1004.00","27","74.19","1015","34"
"60","1005","1","1005.00","29","74.19","1015","34"
"61","1005","1","1005.00","20","74.19","1016","34"
"62","1003","1","1005.00","19","75.07","1015","33"
"63","1006","1","1006.00","36","74.19","1014","33"
"64","1003","1","1004.00","25","73.31","1015","33"
"65","1004","1","1004.00","25","75.07","1016","34"
"66","1005","1","1004.00","17","74.19","1015","34"
"67","1004","1","1004.00","17","74.19","1015","34"
"68","1006","1","1006.00","34","75.07","1014","33"
"69","1004","1","1006.00","35","74.19","1015","33"
"70","1006","1","1004.00","26","75.07","1015","33"
"71","1006","1","1004.00","17","73.31","1015","33"
"72","1006","1","1005.00","20","74.19","1014","34"
"73","1005","1","1004.00","25","75.07","1015","34"
"74","1003","1","1004.00","25","74.19","1015","33"
"75","1003","1","1004.00","25","74.19","1015","33"
"76","1004","1","1005.00","30","74.19","1015","34"
"77","1005","1","1005.00","19","74.19","1015","33"
"78","1003","1","1004.00","26","75.07","1015","33"
"79","1006","1","1006.00","34","74.19","1014","33"
"80","1006","1","1004.00","28","73.31","1015","34"
